Anyo;Semana;Zona Hidrográfica;Embalse Hidroeléctrico;Embalses;Ríos;AguaEmbalsada (hm3) Capacidad;AguaEmbalsada (hm3) Actual;AguaEmbalsada (hm3) (+ / -)SemanaAnterior;EnergíaDisponible GWh Capacidad;EnergíaDisponible GWh Actual;
2018;7;Duero;NO;San José;Duero;6;6;0;2;2;
2018;7;Duero;NO;Santa Teresa;Tormes;496;188;0;406;144;
2018;7;Duero;SI;Saucelle;Duero;181;178;1;10;10;
2018;7;Duero;NO;Serones;Voltoya;6;2;0;0;0;
2018;7;Duero;NO;Úzquiza;Arlanzón;75;20;0;15;4;
2018;7;Duero;SI;Valparaíso;Tera;169;139;3;165;127;
2018;7;Duero;SI;Vencías, Las;Duratón;5;5;0;2;2;
2018;7;Duero;NO;Villagonzalo;Tormes;6;6;0;3;3;
2018;7;Duero;SI;Villalcampo;Duero;66;62;1;41;38;
2018;7;Duero;NO;Villameca;Tuerto;20;8;0;6;2;
2018;7;Tajo;NO;Aceña;Aceña;24;6;0;0;0;
2018;7;Tajo;SI;Alcántara;Tajo;3.160;1.489;-37;791;248;
2018;7;Tajo;NO;Alcorlo;Bornova;180;44;1;0;0;
2018;7;Tajo;SI;Almoguera;Tajo;7;5;-1;2;1;
2018;7;Tajo;NO;Atance, El;Salado;35;12;1;0;0;
2018;7;Tajo;NO;Atazar, El;Lozoya;426;242;-1;0;0;
2018;7;Tajo;SI;Azután;Tajo;113;77;-1;59;32;
2018;7;Tajo;NO;Baños;Baños;41;15;0;0;0;
2018;7;Tajo;NO;Beleña;Sorbe;53;12;0;0;0;
2018;7;Tajo;SI;Bolarque;Tajo;31;28;1;15;11;
2018;7;Tajo;NO;Borbollon;Árrago;88;14;-1;30;1;
2018;7;Tajo;NO;Buendía;Guadiela;1.639;161;1;1.515;16;
2018;7;Tajo;NO;Burguillo - Puente Nuevo;Alberche;201;28;0;218;2;
2018;7;Tajo;NO;Cáceres - Guadiloba;Guadiloba;20;8;0;0;0;
2018;7;Tajo;SI;Castrejón;Tajo;44;41;1;15;12;
2018;7;Tajo;NO;Castro, El;Algodor;8;2;1;0;0;
2018;7;Tajo;NO;Cazalegas;Alberche;7;7;0;0;0;
2018;7;Tajo;SI;Cedillo;Tajo;260;250;1;17;16;
2018;7;Tajo;NO;Entrepeñas;Tajo;835;79;1;782;10;
2018;7;Tajo;NO;Finisterre;Algodor;133;9;0;0;0;
2018;7;Tajo;NO;Gabriel y Galán;Alagón;911;213;1;419;5;
